ABSNJZH,MEANGAM,MEANGBT,MEANJZD,MEANJZH,R_VALUE,USFLUX
0.006219121,0.026389295,0.066813615,0.075147711,0.063682152,0.05398694,0.000948293
0.006797747,0.018161884,0.06982066,0.073315387,0.061818181,0.064973607,0.003652178
0.009851369,0.010223687,0.064650347,0.074152932,0.058534356,0.059899276,0.003306415
0.006770106,0.018866094,0.052807645,0.071940665,0.053663261,0.062082648,0.005322792
0.0048349,0.016792228,0.053586145,0.068788735,0.054361419,0.063077714,0.013422624
0.007096093,0.03490376,0.055597555,0.064245896,0.052648303,0.050965513,0.023539062
0.013953361,0.030500913,0.057704173,0.059418312,0.049469092,0.052437559,0.033286079
0.01676423,0.031780988,0.050223895,0.058067252,0.042603814,0.045855385,0.036224608
0.019554082,0.049225599,0.049959141,0.055766194,0.04340677,0.049295652,0.039398722
0.024562422,0.048773178,0.049648717,0.05133977,0.047104657,0.054848312,0.036712807
0.02724736,0.037611876,0.04805823,0.047007032,0.046485369,0.042160598,0.038017503
0.032245054,0.044387582,0.043894357,0.042444135,0.047852753,0.038449201,0.040047385
0.037962306,0.036065594,0.041558114,0.039008274,0.04489148,0.034835992,0.04207454
0.045663593,0.043953132,0.04190052,0.039333865,0.045871002,0.040792669,0.046201334
0.044656673,0.045784386,0.035024319,0.036163204,0.049313472,0.04806887,0.049403349
0.052818851,0.044014925,0.038806897,0.03428755,0.046406597,0.043376399,0.051359952
0.061595315,0.052134604,0.039714813,0.027822732,0.04402982,0.033395505,0.057355665
0.06806662,0.065839475,0.030587584,0.02389135,0.042840257,0.036089673,0.066845489
0.072616825,0.067914499,0.02436512,0.018911386,0.034918143,0.037899673,0.06700122
0.078428547,0.063708763,0.022972835,0.015679291,0.029990998,0.035696774,0.06966262
0.086952949,0.06220559,0.019192692,0.011764171,0.022534887,0.022418248,0.071114672
0.089096377,0.063055677,0.021973145,0.005701353,0.012343679,0.008047779,0.066585942
0.093372401,0.049213923,0.012433886,0.00372707,0.003910762,0.008861601,0.068292463
0.092873701,0.038492348,0.008705596,0.002075731,0.001318773,0.012484412,0.070224289
